task_name;project_name;time;status
Task1;Project1;2024-05-10 10:05:00;START
Task1;Project1;2024-05-10 00:00:00;STOP
Task1;Project1;2024-04-10 10:05:00;START
Task1;Project1;2024-04-10 00:00:00;STOP
Task2;Project1;2024-04-10 08:00:00;START
Task2;Project1;2024-04-10 09:52:00;STOP
Task2;Project1;2024-04-10 10:02:00;START
Task2;Project1;2024-04-10 11:58:00;STOP
Task1;Project2;2024-04-06 09:12:00;START
Task1;Project2;2024-04-06 10:32:00;STOP
Task2;Project2;2023-05-18 19:12:00;START
Task2;Project2;2023-05-18 20:12:00;STOP
Task3;Project2;2023-05-28 17:13:00;START
Task3;Project2;2023-05-28 19:02:00;STOP
Task4;Project2;2023-04-12 13:18:00;START
Task4;Project2;2023-04-12 13:24:00;STOP
Task1;Project3;2023-03-18 18:19:00;START
Task1;Project3;2023-03-18 18:24:00;STOP
Task1;Project3;2023-03-18 14:10:00;START
Task1;Project3;2023-03-18 15:36:00;STOP
Task2;Project3;2023-03-14 10:10:00;START
Task2;Project3;2023-03-14 11:49:00;STOP
Task3;Project3;2023-03-08 14:10:00;START
Task3;Project3;2023-03-08 15:36:00;STOP
Task3;Project3;2023-03-08 12:10:00;START
Task3;Project3;2023-03-08 12:36:00;STOP
Task1;Project4;2023-03-07 15:10:00;START
Task1;Project4;2023-03-07 16:28:00;STOP
